orig_gh,dest_gh,required_capacity,cost,vehicles
a,b,100,100.0,100.0:1
a,b,200,125.0,100.0:2
a,b,300,150.0,100.0:3
a,b,400,175.0,100.0:4
a,b,500,200.0,100.0:5
a,b,600,225.0,100.0:6
a,b,700,250.0,100.0:7
a,b,800,275.0,100.0:8
a,b,900,300.0,100.0:9
a,b,1000,325.0,100.0:10
a,b,1100,350.0,100.0:11
a,b,1200,375.0,100.0:12
a,b,1300,400.0,100.0:13
a,b,1400,425.0,100.0:14
a,b,1500,450.0,100.0:15
a,b,1600,475.0,100.0:16
a,b,1700,500.0,100.0:17
a,b,1800,525.0,100.0:18
a,b,1900,550.0,100.0:19
a,b,2000,575.0,100.0:20
b,a,100,100.0,100.0:1
b,a,200,125.0,100.0:2
b,a,300,150.0,100.0:3
b,a,400,175.0,100.0:4
b,a,500,200.0,100.0:5
b,a,600,225.0,100.0:6
b,a,700,250.0,100.0:7
b,a,800,275.0,100.0:8
b,a,900,300.0,100.0:9
b,a,1000,325.0,100.0:10
b,a,1100,350.0,100.0:11
b,a,1200,375.0,100.0:12
b,a,1300,400.0,100.0:13
b,a,1400,425.0,100.0:14
b,a,1500,450.0,100.0:15
b,a,1600,475.0,100.0:16
b,a,1700,500.0,100.0:17
b,a,1800,525.0,100.0:18
b,a,1900,550.0,100.0:19
b,a,2000,575.0,100.0:20
a,c,100,100.0,100.0:1
a,c,200,125.0,100.0:2
a,c,300,150.0,100.0:3
a,c,400,175.0,100.0:4
a,c,500,200.0,100.0:5
a,c,600,225.0,100.0:6
a,c,700,250.0,100.0:7
a,c,800,275.0,100.0:8
a,c,900,300.0,100.0:9
a,c,1000,325.0,100.0:10
a,c,1100,350.0,100.0:11
a,c,1200,375.0,100.0:12
a,c,1300,400.0,100.0:13
a,c,1400,425.0,100.0:14
a,c,1500,450.0,100.0:15
a,c,1600,475.0,100.0:16
a,c,1700,500.0,100.0:17
a,c,1800,525.0,100.0:18
a,c,1900,550.0,100.0:19
a,c,2000,575.0,100.0:20
c,a,100,100.0,100.0:1
c,a,200,125.0,100.0:2
c,a,300,150.0,100.0:3
c,a,400,175.0,100.0:4
c,a,500,200.0,100.0:5
c,a,600,225.0,100.0:6
c,a,700,250.0,100.0:7
c,a,800,275.0,100.0:8
c,a,900,300.0,100.0:9
c,a,1000,325.0,100.0:10
c,a,1100,350.0,100.0:11
c,a,1200,375.0,100.0:12
c,a,1300,400.0,100.0:13
c,a,1400,425.0,100.0:14
c,a,1500,450.0,100.0:15
c,a,1600,475.0,100.0:16
c,a,1700,500.0,100.0:17
c,a,1800,525.0,100.0:18
c,a,1900,550.0,100.0:19
c,a,2000,575.0,100.0:20
a,d,100,200.0,100.0:1
